view,year,sector,dominant_theme,dominant_label,dominant_share,n_tickers
business,2012,Industrials,theme_0,EXPE / CINF / A / NI,1.0,69
business,2012,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,56
business,2012,Materials,theme_0,EXPE / CINF / A / NI,1.0,23
business,2012,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,29
business,2012,Utilities,theme_0,EXPE / CINF / A / NI,1.0,29
business,2013,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,18
business,2013,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,43
business,2013,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,34
business,2013,Energy,theme_0,EXPE / CINF / A / NI,1.0,21
business,2013,Financials,theme_0,EXPE / CINF / A / NI,1.0,69
business,2013,Health Care,theme_0,EXPE / CINF / A / NI,1.0,53
business,2013,Industrials,theme_0,EXPE / CINF / A / NI,1.0,69
business,2013,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,60
business,2013,Materials,theme_0,EXPE / CINF / A / NI,1.0,24
business,2013,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,29
business,2013,Utilities,theme_0,EXPE / CINF / A / NI,1.0,29
business,2014,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,20
business,2014,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,45
business,2014,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,34
business,2014,Energy,theme_0,EXPE / CINF / A / NI,1.0,21
business,2014,Financials,theme_0,EXPE / CINF / A / NI,1.0,69
business,2014,Health Care,theme_0,EXPE / CINF / A / NI,1.0,55
business,2014,Industrials,theme_0,EXPE / CINF / A / NI,1.0,70
business,2014,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,61
business,2014,Materials,theme_0,EXPE / CINF / A / NI,1.0,24
business,2014,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,29
business,2014,Utilities,theme_0,EXPE / CINF / A / NI,1.0,29
business,2015,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,20
business,2015,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,45
business,2015,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,34
business,2015,Energy,theme_0,EXPE / CINF / A / NI,1.0,21
business,2015,Financials,theme_0,EXPE / CINF / A / NI,1.0,72
business,2015,Health Care,theme_0,EXPE / CINF / A / NI,1.0,55
business,2015,Industrials,theme_0,EXPE / CINF / A / NI,1.0,70
business,2015,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,63
business,2015,Materials,theme_0,EXPE / CINF / A / NI,1.0,24
business,2015,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,29
business,2015,Utilities,theme_0,EXPE / CINF / A / NI,1.0,29
business,2016,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,20
business,2016,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,45
business,2016,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,35
business,2016,Energy,theme_0,EXPE / CINF / A / NI,1.0,21
business,2016,Financials,theme_0,EXPE / CINF / A / NI,1.0,74
business,2016,Health Care,theme_0,EXPE / CINF / A / NI,1.0,55
business,2016,Industrials,theme_0,EXPE / CINF / A / NI,1.0,70
business,2016,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,66
business,2016,Materials,theme_0,EXPE / CINF / A / NI,1.0,24
business,2016,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,29
business,2016,Utilities,theme_0,EXPE / CINF / A / NI,1.0,29
business,2017,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,21
business,2017,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,45
business,2017,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,35
business,2017,Energy,theme_0,EXPE / CINF / A / NI,1.0,21
business,2017,Financials,theme_0,EXPE / CINF / A / NI,1.0,74
business,2017,Health Care,theme_0,EXPE / CINF / A / NI,1.0,55
business,2017,Industrials,theme_0,EXPE / CINF / A / NI,1.0,72
business,2017,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,67
business,2017,Materials,theme_0,EXPE / CINF / A / NI,1.0,24
business,2017,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,29
business,2017,Utilities,theme_0,EXPE / CINF / A / NI,1.0,30
business,2018,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,21
business,2018,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,46
business,2018,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,35
business,2018,Energy,theme_0,EXPE / CINF / A / NI,1.0,21
business,2018,Financials,theme_0,EXPE / CINF / A / NI,1.0,74
business,2018,Health Care,theme_0,EXPE / CINF / A / NI,1.0,55
business,2018,Industrials,theme_0,EXPE / CINF / A / NI,1.0,73
business,2018,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,67
business,2018,Materials,theme_0,EXPE / CINF / A / NI,1.0,24
business,2018,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,30
business,2018,Utilities,theme_0,EXPE / CINF / A / NI,1.0,30
business,2019,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,21
business,2019,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,46
business,2019,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,35
business,2019,Energy,theme_0,EXPE / CINF / A / NI,1.0,21
business,2019,Financials,theme_0,EXPE / CINF / A / NI,1.0,74
business,2019,Health Care,theme_0,EXPE / CINF / A / NI,1.0,56
business,2019,Industrials,theme_0,EXPE / CINF / A / NI,1.0,74
business,2019,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,67
business,2019,Materials,theme_0,EXPE / CINF / A / NI,1.0,24
business,2019,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,31
business,2019,Utilities,theme_0,EXPE / CINF / A / NI,1.0,30
business,2020,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,23
business,2020,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,46
business,2020,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,35
business,2020,Energy,theme_0,EXPE / CINF / A / NI,1.0,21
business,2020,Financials,theme_0,EXPE / CINF / A / NI,1.0,74
business,2020,Health Care,theme_0,EXPE / CINF / A / NI,1.0,56
business,2020,Industrials,theme_0,EXPE / CINF / A / NI,1.0,75
business,2020,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,69
business,2020,Materials,theme_0,EXPE / CINF / A / NI,1.0,26
business,2020,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,31
business,2020,Utilities,theme_0,EXPE / CINF / A / NI,1.0,30
business,2021,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,23
business,2021,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,48
business,2021,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,35
business,2021,Energy,theme_0,EXPE / CINF / A / NI,1.0,21
business,2021,Financials,theme_0,EXPE / CINF / A / NI,1.0,74
business,2021,Health Care,theme_0,EXPE / CINF / A / NI,1.0,56
business,2021,Industrials,theme_0,EXPE / CINF / A / NI,1.0,77
business,2021,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,70
business,2021,Materials,theme_0,EXPE / CINF / A / NI,1.0,26
business,2021,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,31
business,2021,Utilities,theme_0,EXPE / CINF / A / NI,1.0,30
business,2022,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,23
business,2022,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,48
business,2022,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,35
business,2022,Energy,theme_0,EXPE / CINF / A / NI,1.0,22
business,2022,Financials,theme_0,EXPE / CINF / A / NI,1.0,76
business,2022,Health Care,theme_0,EXPE / CINF / A / NI,1.0,56
business,2022,Industrials,theme_0,EXPE / CINF / A / NI,1.0,77
business,2022,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,71
business,2022,Materials,theme_0,EXPE / CINF / A / NI,1.0,26
business,2022,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,31
business,2022,Utilities,theme_0,EXPE / CINF / A / NI,1.0,30
